사자, 171, 57
마차, 194, 72
다타, 168, 83
카하, 150, 99
나파, 193, 69
타마, 177, 68
파나, 152, 93
라차, 156, 56
차가, 159, 53
바사, 184, 81
자타, 176, 53
다차, 196, 89
타가, 158, 79
타자, 189, 67
마카, 186, 58
다마, 191, 87
가나, 154, 87
나하, 176, 58
나다, 192, 96
바카, 150, 79
차타, 170, 70
나파, 184, 71
바자, 174, 78
파바, 167, 80
바하, 189, 96
차마, 170, 56
자가, 184, 91
바파, 164, 81
나자, 197, 67
마타, 184, 71
파파, 151, 98
라타, 165, 53
다아, 153, 78
차자, 197, 74
차자, 195, 67
카바, 151, 57
바바, 194, 82
하하, 166, 96
아마, 190, 76
하타, 176, 64
라자, 191, 79
마카, 159, 55
아마, 162, 64
자라, 180, 78
타가, 163, 65
나타, 166, 94
아나, 177, 68
아나, 192, 56
타하, 179, 58
자라, 182, 66
하마, 157, 62
하마, 175, 78
타카, 168, 96
다가, 196, 59
다다, 187, 63
자바, 170, 60
하라, 155, 89
아라, 163, 53
사나, 185, 64
아타, 175, 84
파타, 161, 60
마다, 158, 94
차바, 194, 99
가하, 177, 80
차가, 151, 62
사아, 162, 51
바나, 184, 74
라자, 176, 85
라자, 195, 93
마파, 189, 85
아카, 158, 98
차마, 183, 82
자자, 164, 79
파나, 195, 82
마라, 175, 96
가가, 169, 64
사다, 196, 82
차자, 193, 70
다카, 168, 66
나나, 166, 60
파라, 184, 62
차파, 188, 96
나아, 166, 92
하아, 195, 58
바나, 160, 69
나파, 168, 60
마아, 164, 88
카바, 174, 53
카아, 168, 82
하하, 169, 67
가아, 176, 99
마나, 153, 59
가차, 170, 52
다카, 185, 73
바가, 188, 81
파하, 165, 51
하바, 176, 70
파다, 198, 76
타사, 187, 97
자파, 189, 91
자가, 196, 93
라카, 174, 77
나파, 168, 74
다자, 151, 80
타하, 194, 80
바아, 178, 94
파사, 187, 72
파나, 181, 52
바아, 177, 96
바차, 199, 93
사바, 186, 90
나아, 171, 88
자차, 198, 69
차파, 162, 94
아마, 150, 52
사차, 181, 83
카사, 183, 86
바나, 173, 94
바차, 159, 87
다하, 160, 70
파하, 197, 51
마라, 197, 79
타바, 150, 84
카다, 152, 61
마하, 150, 80
가차, 157, 51
자자, 155, 86
사파, 176, 57
파아, 156, 80
나바, 152, 63
라가, 182, 81
나아, 187, 84
파라, 194, 66
바하, 181, 63
파마, 159, 63
아사, 187, 50
다아, 183, 50
파카, 187, 86
다타, 165, 54
사바, 178, 52
나다, 163, 80
파아, 194, 74
카파, 168, 53
가자, 180, 78
라자, 168, 71
마바, 160, 76
타다, 187, 91
아차, 179, 70
파나, 178, 63
다다, 192, 50
라나, 158, 72
마라, 198, 54
차아, 162, 92
카사, 159, 91
차라, 163, 67
바타, 173, 61
라가, 168, 59
파나, 189, 57
아다, 178, 65
나카, 155, 50
사사, 176, 93
나바, 152, 50
차바, 160, 99
차마, 160, 96
카다, 188, 75
사파, 174, 72
가사, 181, 81
바다, 189, 90
다카, 150, 95
차파, 174, 65
자차, 150, 79
바바, 172, 50
마파, 167, 94
나마, 187, 53
자하, 165, 57
하마, 175, 72
나타, 171, 85
파사, 157, 60
카마, 195, 51
차라, 155, 88
라나, 183, 94
차바, 195, 60
카차, 153, 63
마나, 169, 69
차라, 167, 96
자아, 187, 86
카라, 168, 67
차가, 152, 80
차아, 186, 50
자마, 175, 50
카차, 176, 93
라라, 182, 88
마타, 158, 98
카바, 183, 51
가카, 185, 65
나하, 171, 67
자차, 187, 50
카자, 162, 61
자파, 153, 52
파아, 187, 78
아차, 174, 54
다카, 153, 67
차아, 150, 66
가하, 195, 94
사하, 156, 70
가바, 192, 76
가가, 189, 73
사나, 157, 91
사자, 184, 76
사파, 150, 72
차다, 169, 54
아다, 185, 55
차타, 184, 73
바가, 151, 99
가사, 197, 92
카차, 165, 72
다사, 178, 60
하타, 150, 92
가파, 187, 69
하마, 175, 54
다카, 195, 83
바자, 173, 67
차카, 197, 80
라자, 151, 83
다차, 195, 52
사차, 197, 64
아바, 183, 52
하마, 199, 93
바카, 193, 54
타아, 191, 51
차차, 196, 54
바가, 153, 86
나마, 180, 98
나나, 198, 91
하카, 167, 68
가바, 170, 71
라가, 190, 75
다차, 182, 66
라라, 176, 82
차하, 172, 82
자나, 173, 65
파파, 179, 58
마바, 183, 85
차사, 151, 70
다카, 163, 86
다자, 179, 84
아마, 187, 62
파파, 158, 73
아사, 156, 69
가바, 177, 84
타다, 169, 97
카자, 161, 86
라나, 193, 67
카타, 150, 59
다자, 158, 63
아가, 198, 71
자자, 155, 74
바자, 156, 70
다자, 150, 64
가타, 192, 78
바다, 157, 57
나아, 154, 63
아사, 185, 78
바바, 189, 69
하타, 197, 52
타카, 187, 61
카라, 195, 50
하카, 198, 52
라다, 191, 95
바파, 159, 53
파가, 184, 63
하사, 161, 59
파자, 161, 91
자아, 150, 99
파나, 178, 97
하파, 153, 50
타자, 159, 80
카타, 188, 82
파아, 153, 90
차파, 152, 68
바차, 178, 66
자마, 158, 71
카카, 176, 99
라자, 166, 87
파라, 156, 58
다하, 197, 54
파자, 175, 68
차카, 153, 73
마하, 159, 85
다카, 166, 56
타사, 180, 76
하아, 199, 87
하바, 174, 62
바다, 172, 90
나라, 188, 88
차자, 197, 53
마나, 177, 65
사아, 176, 75
사가, 171, 85
가파, 167, 74
파다, 177, 79
차라, 158, 54
파차, 153, 95
나아, 160, 81
카차, 156, 63
하바, 155, 97
하자, 186, 53
라바, 163, 96
차바, 197, 97
바사, 163, 69
마바, 188, 80
카나, 162, 86
아사, 190, 76
마파, 156, 64
타차, 194, 50
다바, 180, 56
타바, 175, 72
나아, 187, 87
하하, 172, 98
라다, 187, 68
자파, 173, 89
아카, 162, 65
자차, 165, 78
사바, 167, 55
나마, 193, 58
카차, 163, 62
타아, 153, 55
아마, 164, 56
타타, 174, 84
차가, 192, 76
자마, 153, 61
가카, 169, 73
파다, 172, 86
자파, 164, 85
마자, 158, 96
아차, 154, 80
타가, 195, 79
타파, 178, 70
라타, 196, 60
라자, 184, 63
가바, 152, 67
하타, 199, 86
자카, 164, 71
타차, 160, 63
마자, 199, 98
하아, 169, 58
아사, 183, 70
사마, 179, 92
차하, 197, 79
바가, 164, 60
자나, 189, 74
마라, 183, 65
바라, 184, 76
마차, 173, 56
아하, 199, 60
사아, 199, 62
하나, 178, 84
자차, 198, 73
하바, 198, 97
다바, 192, 56
가파, 194, 83
다가, 155, 73
다자, 180, 66
다타, 178, 98
다파, 151, 75
아타, 197, 94
자아, 183, 98
나라, 191, 86
파사, 177, 86
파마, 177, 67
자하, 168, 71
사나, 169, 52
카마, 151, 56
라라, 192, 51
가가, 166, 61
나나, 193, 75
하하, 150, 78
다카, 156, 94
다하, 181, 69
타나, 197, 79
라나, 187, 81
타차, 190, 60
카파, 162, 88
차차, 152, 58
라라, 195, 80
마마, 195, 61
가마, 154, 93
바나, 163, 92
바바, 181, 52
타아, 190, 87
가마, 166, 69
타차, 159, 60
카나, 180, 99
타아, 159, 68
타파, 179, 94
아파, 167, 82
가다, 178, 69
파차, 169, 71
다가, 155, 62
가라, 152, 53
타아, 163, 91
파사, 178, 92
자아, 189, 74
아하, 151, 93
다하, 190, 71
카차, 171, 91
자바, 184, 85
자바, 176, 66
바카, 187, 99
다차, 161, 71
하라, 192, 58
차파, 194, 73
마파, 162, 65
하바, 187, 50
파파, 172, 95
마가, 160, 71
자가, 176, 90
차하, 190, 90
다아, 167, 54
하차, 171, 64
라라, 168, 56
사다, 170, 81
하사, 187, 92
다파, 165, 77
나사, 175, 85
자아, 169, 51
마타, 159, 63
사아, 185, 51
파파, 180, 81
차사, 152, 99
아파, 185, 51
하나, 154, 99
하자, 156, 56
사파, 181, 83
타다, 183, 58
라가, 196, 95
타마, 194, 63
마바, 162, 69
아가, 176, 58
바자, 197, 55
다라, 165, 70
파파, 178, 86
다타, 198, 79
다마, 169, 66
하사, 165, 76
차하, 168, 93
자차, 153, 57
가타, 156, 72
나아, 150, 76
차사, 159, 61
라자, 186, 95
나차, 198, 58
아카, 166, 58
자타, 156, 57
차라, 160, 51
사차, 171, 78
다바, 180, 66
가라, 176, 77
가라, 194, 81
마사, 162, 85
타카, 164, 82
가가, 153, 59
마마, 150, 52
가타, 197, 77
파바, 174, 61
라파, 174, 76
사바, 164, 67
카하, 193, 83
가다, 171, 57
라바, 175, 55
타라, 193, 88
바라, 190, 70
카타, 184, 53
바하, 188, 85
가바, 160, 57
아자, 175, 62
라가, 174, 63
카나, 188, 93
사사, 168, 78
파나, 196, 69
나나, 184, 91
아마, 170, 93
하라, 187, 52
파마, 158, 60
라카, 158, 90
파마, 176, 67
파아, 177, 95
마하, 168, 55
하가, 191, 92
가라, 167, 50
다차, 195, 93
카아, 178, 94
자차, 154, 57
파나, 177, 98
카하, 157, 87
자다, 197, 60
차타, 167, 55
라자, 160, 52
타카, 172, 52
타바, 197, 74
